INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2020-05-03T11:00:00-00:00,2020-05-03T12:00:00-00:00,2020-05-03,5,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,16.96134,1
2020-05-03T08:00:00-00:00,2020-05-03T09:00:00-00:00,2020-05-03,2,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,17.73793,1
2020-05-04T06:00:00-00:00,2020-05-04T07:00:00-00:00,2020-05-03,24,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,18.42561,1
2020-05-03T07:00:00-00:00,2020-05-03T08:00:00-00:00,2020-05-03,1,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,18.7844,1
2020-05-03T10:00:00-00:00,2020-05-03T11:00:00-00:00,2020-05-03,4,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,16.54362,1
2020-05-03T20:00:00-00:00,2020-05-03T21:00:00-00:00,2020-05-03,14,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,0.36213,1
2020-05-03T21:00:00-00:00,2020-05-03T22:00:00-00:00,2020-05-03,15,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,-0.54593,1
2020-05-04T00:00:00-00:00,2020-05-04T01:00:00-00:00,2020-05-03,18,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,4.656,1
2020-05-04T01:00:00-00:00,2020-05-04T02:00:00-00:00,2020-05-03,19,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,14.4486,1
2020-05-03T09:00:00-00:00,2020-05-03T10:00:00-00:00,2020-05-03,3,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,16.54962,1
2020-05-03T18:00:00-00:00,2020-05-03T19:00:00-00:00,2020-05-03,12,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,1.97025,1
2020-05-04T03:00:00-00:00,2020-05-04T04:00:00-00:00,2020-05-03,21,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,34.30437,1
2020-05-03T17:00:00-00:00,2020-05-03T18:00:00-00:00,2020-05-03,11,0,BAYSHOR2_1_N001,BAYSHOR2_1_N001,BAYSHOR2_1_N001,DAM,LMP,LMP_PRC,BAYSHOR2_1_N001,ALL,1,3.48729,1
