station,valid,tmpc,dwpc,relh,sped
MSP,2021-08-31 00:00,M,M,M,2.30
DSM,2021-08-31 00:00,21.72,16.72,73.22,33.35
BTR,2021-08-31 00:00,M,M,M,M
DSM,2021-08-31 00:00,M,M,M,M
SPI,2021-08-31 00:00,M,M,M,0.00
LIT,2021-08-31 00:00,M,M,M,8.05
LIT,2021-08-31 00:05,M,M,M,11.50
MSP,2021-08-31 00:05,M,M,M,2.30
SPI,2021-08-31 00:05,M,M,M,0.00
BTR,2021-08-31 00:05,M,M,M,M
DSM,2021-08-31 00:05,M,M,M,10.35
DSM,2021-08-31 00:07,20.61,16.72,78.39,M
LIT,2021-08-31 00:10,M,M,M,8.05
BTR,2021-08-31 00:10,M,M,M,M
SPI,2021-08-31 00:10,M,M,M,2.30
MSP,2021-08-31 00:10,M,M,M,2.30
DSM,2021-08-31 00:10,M,M,M,M
OZW,2021-08-31 00:15,17.50,14.61,83.15,0.00
BTR,2021-08-31 00:15,M,M,M,M
MSP,2021-08-31 00:15,M,M,M,2.30
SPI,2021-08-31 00:15,M,M,M,2.30
LIT,2021-08-31 00:15,M,M,M,9.20
DSM,2021-08-31 00:15,M,M,M,25.30
BTR,2021-08-31 00:20,M,M,M,M
SPI,2021-08-31 00:20,M,M,M,0.00
LIT,2021-08-31 00:20,M,M,M,9.20
DSM,2021-08-31 00:20,M,M,M,20.70
MSP,2021-08-31 00:20,M,M,M,2.30
LIT,2021-08-31 00:25,M,M,M,9.20
BTR,2021-08-31 00:25,M,M,M,M
SPI,2021-08-31 00:25,M,M,M,0.00
DSM,2021-08-31 00:25,M,M,M,20.70
MSP,2021-08-31 00:25,M,M,M,2.30
MSP,2021-08-31 00:30,M,M,M,2.30
SPI,2021-08-31 00:30,M,M,M,M
LIT,2021-08-31 00:30,M,M,M,9.20
BTR,2021-08-31 00:30,M,M,M,M
DSM,2021-08-31 00:30,17.78,16.11,89.97,17.25
DSM,2021-08-31 00:30,M,M,M,17.25
